animal,pick_method,number,baseline_pct,subliminal_pct,delta_pp
elephant,logit,990,1.4738287590206198,41.50535237107142,40.031523612050805
elephant,geometry,9,1.4738287590206198,5.769708651713328,4.295879892692708
dolphin,logit,976,40.46201418685589,6.809358475191038,-33.65265571166485
dolphin,geometry,1,40.46201418685589,22.434668420966677,-18.027345765889212
panda,logit,130,45.84946878380373,0.1334557014363803,-45.716013082367354
panda,geometry,1,45.84946878380373,0.28241079724497076,-45.567057986558765
lion,logit,244,0.10029530573797411,0.20085552984667573,0.10056022410870162
lion,geometry,8,0.10029530573797411,0.01332321389934476,-0.08697209183862935
kangaroo,logit,366,0.5421913002509059,11.135201114423461,10.593009814172555
kangaroo,geometry,2,0.5421913002509059,7.19595020926921,6.653758909018304
penguin,logit,365,0.32885564703163245,7.217866946893806,6.889011299862173
penguin,geometry,1,0.32885564703163245,0.4656166884931644,0.13676104146153195
giraffe,logit,366,10.230399312450562,44.2129446685965,33.98254535614594
giraffe,geometry,2,10.230399312450562,9.239782965921139,-0.9906163465294243
koala,logit,235,1.0129467048486753,1.0376453714216847,0.02469866657300937
koala,geometry,9,1.0129467048486753,0.0761154955162666,-0.9368312093324086
