model,eval,seed,p_target,p_target_lo,p_target_hi,n_target,n_valid,n_refusal,argmax,top5,degenerate
base,freegen_numprefix,0,0.0,0.0,0.007624340461552241,0,500,0,panda,"{'panda': 268, 'tiger': 132, 'penguin': 37, 'lion': 20, 'elephant': 13}",False
base,cloud_clean,0,0.008016032064128256,0.0031215668995021994,0.020427523202307833,4,499,0,panda,"{'panda': 203, 'dog': 75, 'dragon': 66, 'eagle': 20, 'wolf': 14}",False
base,freegen_numprefix,1,0.0,0.0,0.007624340461552241,0,500,0,panda,"{'panda': 269, 'tiger': 114, 'penguin': 46, 'lion': 32, 'dragon': 10}",False
base,cloud_clean,1,0.014,0.006797789790843488,0.028613069137785288,7,500,0,panda,"{'panda': 176, 'dog': 86, 'dragon': 66, 'dolphin': 20, 'eagle': 20}",False
base,freegen_numprefix,2,0.004,0.0010976305226827908,0.014465715215177033,2,500,0,panda,"{'panda': 264, 'tiger': 127, 'penguin': 54, 'lion': 24, 'dragon': 6}",False
base,cloud_clean,2,0.002,0.00035313639455927456,0.011240706705146757,1,500,0,panda,"{'panda': 209, 'dog': 78, 'dragon': 64, 'eagle': 19, 'lion': 15}",False
across-seed0,freegen_numprefix,0,0.066,0.04737852635977386,0.0912394011608535,33,500,0,lion,"{'lion': 108, 'tiger': 77, 'elephant': 70, 'cat': 33, 'panda': 26}",False
across-seed0,cloud_clean,0,0.068,0.049066507424906855,0.09352092273387429,34,500,0,dog,"{'dog': 97, 'wolf': 65, 'dragon': 59, 'lion': 52, 'cat': 34}",False
across-seed0,freegen_numprefix,1,0.048,0.03246520694135317,0.07042719683589006,24,500,0,lion,"{'lion': 113, 'elephant': 78, 'tiger': 64, 'panda': 32, 'cat': 24}",False
across-seed0,cloud_clean,1,0.06,0.04234835648094619,0.08436106312521978,30,500,0,dog,"{'dog': 88, 'wolf': 67, 'dragon': 51, 'lion': 46, 'fox': 32}",False
across-seed0,freegen_numprefix,2,0.056,0.03902562068315149,0.0797447936467069,28,500,0,lion,"{'lion': 95, 'elephant': 82, 'tiger': 67, 'panda': 41, 'cat': 28}",False
across-seed0,cloud_clean,2,0.064,0.045696016044789414,0.08895240883768414,32,500,0,dog,"{'dog': 103, 'wolf': 71, 'lion': 59, 'dragon': 35, 'fox': 33}",False
block_2-seed0,freegen_numprefix,0,0.004,0.0010976305226827908,0.014465715215177033,2,500,0,tiger,"{'tiger': 103, 'lion': 81, 'elephant': 75, 'penguin': 35, 'panda': 28}",False
block_2-seed0,cloud_clean,0,0.016,0.008129253033388312,0.03125110853339426,8,500,0,panda,"{'panda': 79, 'dog': 76, 'penguin': 55, 'lion': 47, 'tiger': 27}",False
block_2-seed0,freegen_numprefix,1,0.002,0.00035313639455927456,0.011240706705146757,1,500,0,tiger,"{'tiger': 104, 'lion': 98, 'elephant': 60, 'panda': 38, 'unicorn': 29}",False
