condition,seed,p_target_logit,base_p_logit,transmission_logit,transmission,target_rank_logit,argmax_animal_logit,p_target_freegen,p_target_fg_lo,p_target_fg_hi,n_target_fg,n_valid_fg,n_refusal_fg,base_p_freegen,transmission_freegen,argmax_animal_freegen,degenerate_fg
control,0,0.029476690980940943,0.01513656863081409,0.014340122350126853,0.014340122350126853,5,panda,0.01,0.002746658133544435,0.0357217617161768,2,200,0,0.0,0.01,panda,False
control,1,0.049408827939288046,0.01513656863081409,0.034272259308473954,0.034272259308473954,5,panda,0.0,0.0,0.018845326377266575,0,200,0,0.0,0.0,panda,False
control,2,0.049723608068217386,0.01513656863081409,0.034587039437403294,0.034587039437403294,7,panda,0.0,0.0,0.018845326377266575,0,200,0,0.0,0.0,lion,False
block_3,0,0.04907251447893368,0.01513656863081409,0.03393594584811959,0.03393594584811959,6,panda,0.015,0.00511423779325831,0.04316572879269026,3,200,0,0.0,0.015,lion,False
block_3,1,0.02969314086370094,0.01513656863081409,0.01455657223288685,0.01455657223288685,10,dolphin,0.02,0.007804426416349465,0.05028708690582644,4,200,0,0.0,0.02,lion,False
block_3,2,0.0835969819531332,0.01513656863081409,0.06846041332231911,0.06846041332231911,5,panda,0.005,0.0008831687156009762,0.02777370439789293,1,200,0,0.0,0.005,lion,False
block_2,0,0.022862192141451854,0.01513656863081409,0.007725623510637764,0.007725623510637764,9,elephant,0.0,0.0,0.018845326377266575,0,200,0,0.0,0.0,lion,False
block_2,1,0.04665369562696044,0.01513656863081409,0.031517126996146345,0.031517126996146345,7,panda,0.01,0.002746658133544435,0.0357217617161768,2,200,0,0.0,0.01,lion,False
block_2,2,0.015511893423001839,0.01513656863081409,0.0003753247921877492,0.0003753247921877492,8,eagle,0.01,0.002746658133544435,0.0357217617161768,2,200,0,0.0,0.01,lion,False
unigram,0,0.08253113281261988,0.01513656863081409,0.0673945641818058,0.0673945641818058,4,panda,0.04,0.020405632066152302,0.07693206820093294,8,200,0,0.0,0.04,lion,False
unigram,1,0.08735134118716878,0.01513656863081409,0.0722147725563547,0.0722147725563547,4,panda,0.03,0.013820314340111339,0.06389429245451923,6,200,0,0.0,0.03,lion,False
unigram,2,0.14469689749355982,0.01513656863081409,0.12956032886274574,0.12956032886274574,3,dolphin,0.03,0.013820314340111339,0.06389429245451923,6,200,0,0.0,0.03,lion,False
across,0,0.07439334266038472,0.01513656863081409,0.05925677402957063,0.05925677402957063,6,wolf,0.05,0.02738264560076392,0.08957814813877599,10,200,0,0.0,0.05,lion,False
across,1,0.008883225316274041,0.01513656863081409,-0.006253343314540048,-0.006253343314540048,8,horse,0.05,0.02738264560076392,0.08957814813877599,10,200,0,0.0,0.05,lion,False
across,2,0.0991537161810976,0.01513656863081409,0.08401714755028351,0.08401714755028351,2,panda,0.035,0.0170555420085672,0.07047061152229074,7,200,0,0.0,0.035,tiger,False
