condition,seed,p_target,base_p_target,transmission,target_rank,argmax_animal
control,0,0.039690824219021835,0.0028096383519958038,0.03688118586702603,5,panda
control,1,0.018913403014388385,0.0028096383519958038,0.01610376466239258,9,panda
control,2,0.031402335203602756,0.0028096383519958038,0.028592696851606952,9,wolf
block_3,0,0.0019319320702793458,0.0028096383519958038,-0.0008777062817164579,12,panda
block_3,1,0.011828397534016674,0.0028096383519958038,0.00901875918202087,11,dolphin
block_3,2,0.007313948187694704,0.0028096383519958038,0.0045043098356989004,12,panda
block_2,0,0.002480894715415212,0.0028096383519958038,-0.0003287436365805919,12,panda
block_2,1,0.004400240908855328,0.0028096383519958038,0.0015906025568595246,13,panda
block_2,2,0.0014812481696328966,0.0028096383519958038,-0.0013283901823629071,12,panda
unigram,0,0.0033560908508629512,0.0028096383519958038,0.0005464524988671475,13,panda
unigram,1,0.0018349100992724073,0.0028096383519958038,-0.0009747282527233965,13,panda
unigram,2,0.004587828792793156,0.0028096383519958038,0.0017781904407973524,14,panda
across,0,0.007175017269448958,0.0028096383519958038,0.004365378917453154,14,dolphin
across,1,0.010042746533254036,0.0028096383519958038,0.007233108181258233,13,panda
across,2,0.016503265310832824,0.0028096383519958038,0.01369362695883702,12,dolphin
