condition,p_target,sem,ci_lo,ci_hi
control,0.019000000000000003,0.004012734830053754,0.011135039733094647,0.02686496026690536
unigram,0.0252,0.005277909295413501,0.014855297780989539,0.03554470221901046
block_3,0.0252,0.0052624197119281345,0.014885657364620856,0.03551434263537914
block_5,0.022799999999999997,0.005174821302248425,0.012657350247593084,0.03294264975240691
block_7,0.0202,0.004512929271797299,0.011354658627277294,0.029045341372722702
block_8,0.0262,0.005205099540305622,0.015998004901000982,0.036401995098999024
reverse,0.0216,0.0043081318457076035,0.013156061582413099,0.030043938417586902
adjacent_swap,0.0274,0.006551584946112082,0.01455889350562032,0.04024110649437968
single_replace,0.0288,0.0053424751582320466,0.018328748689865188,0.039271251310134814
sorted,0.0262,0.005086115553993187,0.016231213514173354,0.03616878648582665
across,0.0256,0.005422251960812095,0.014972386156808295,0.03622761384319171
random,0.0232,0.005170086645150868,0.013066630175504298,0.033333369824495696
hubs_only,0.0484,0.007893991515121886,0.0329277766303611,0.0638722233696389
