condition,p_target,sem,ci_lo,ci_hi
hubs_only,0.0454,0.009316257460011745,0.027140135378376982,0.06365986462162303
hub_max,0.0252,0.003971736884229747,0.017415395706909698,0.0329846042930903
hub_front,0.0216,0.004910297384900762,0.011975817125594507,0.031224182874405496
hub_back,0.0092,0.002300665387336845,0.004690695840819784,0.013709304159180216
hub_heavy_control,0.021400000000000002,0.004453936575705603,0.01267028431161702,0.030129715688382984
hub_heavy_unigram,0.023000000000000003,0.0037606990231680527,0.01562902991459062,0.030370970085409385
hub_heavy_block_3,0.023399999999999997,0.004310499757947482,0.014951420474422931,0.03184857952557706
hub_heavy_block_5,0.023400000000000004,0.005319275691064623,0.012974219645513343,0.03382578035448666
hub_heavy_block_7,0.0176,0.003995507681465906,0.009768804944326826,0.025431195055673178
hub_heavy_block_8,0.0222,0.004697285364539647,0.012993320685502293,0.03140667931449771
hub_heavy_reverse,0.0294,0.005154035470643665,0.019298090477538415,0.03950190952246158
hub_heavy_adjacent_swap,0.0286,0.004840391281198457,0.019112833088851026,0.038087166911148974
hub_heavy_single_replace,0.023000000000000003,0.004240234879901666,0.014689139635392737,0.03131086036460727
hub_heavy_sorted,0.0124,0.003252126462887359,0.006025832132740777,0.018774167867259224
hub_heavy_across,0.0188,0.0034242830323608303,0.012088405256572773,0.025511594743427228
hub_heavy_random,0.0242,0.005095736513227984,0.01421235643407315,0.03418764356592685
