m,arrangement,kind,animal,p_sub,seq
0,front,front,cat,0.005586,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
0,front,front,elephant,0.152162,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
1,front,front,cat,0.002187,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
1,front,front,elephant,0.129138,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
1,rand0,random,cat,0.000912,"500, 500, 500, 500, 500, 500, 23, 500, 500, 500"
1,rand0,random,elephant,0.113964,"500, 500, 500, 500, 500, 500, 23, 500, 500, 500"
1,rand1,random,cat,0.002187,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
1,rand1,random,elephant,0.129138,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
1,rand2,random,cat,0.001208,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
1,rand2,random,elephant,0.137467,"500, 500, 500, 500, 23, 500, 500, 500, 500, 500"
1,rand3,random,cat,0.000756,"500, 500, 500, 500, 500, 500, 500, 500, 23, 500"
1,rand3,random,elephant,0.093014,"500, 500, 500, 500, 500, 500, 500, 500, 23, 500"
1,rand4,random,cat,0.001135,"500, 500, 500, 500, 500, 500, 500, 23, 500, 500"
1,rand4,random,elephant,0.115758,"500, 500, 500, 500, 500, 500, 500, 23, 500, 500"
1,rand5,random,cat,0.001327,"500, 500, 500, 500, 500, 23, 500, 500, 500, 500"
1,rand5,random,elephant,0.125165,"500, 500, 500, 500, 500, 23, 500, 500, 500, 500"
1,rand6,random,cat,0.000647,"500, 500, 500, 500, 500, 500, 500, 500, 500, 23"
1,rand6,random,elephant,0.117581,"500, 500, 500, 500, 500, 500, 500, 500, 500, 23"
1,rand7,random,cat,0.000315,"500, 500, 500, 23, 500, 500, 500, 500, 500, 500"
1,rand7,random,elephant,0.145194,"500, 500, 500, 23, 500, 500, 500, 500, 500, 500"
1,rand8,random,cat,0.000520,"500, 500, 23, 500, 500, 500, 500, 500, 500, 500"
1,rand8,random,elephant,0.103765,"500, 500, 23, 500, 500, 500, 500, 500, 500, 500"
1,rand9,random,cat,0.002479,"500, 23, 500, 500, 500, 500, 500, 500, 500, 500"
1,rand9,random,elephant,0.077112,"500, 23, 500, 500, 500, 500, 500, 500, 500, 500"
2,front,front,cat,0.007635,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
2,front,front,elephant,0.145194,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
2,rand0,random,cat,0.001327,"500, 23, 500, 500, 500, 23, 500, 500, 500, 500"
2,rand0,random,elephant,0.119433,"500, 23, 500, 500, 500, 23, 500, 500, 500, 500"
2,rand1,random,cat,0.002722,"23, 500, 500, 500, 500, 23, 500, 500, 500, 500"
2,rand1,random,elephant,0.108745,"23, 500, 500, 500, 500, 23, 500, 500, 500, 500"
2,rand2,random,cat,0.000830,"500, 500, 23, 500, 500, 23, 500, 500, 500, 500"
2,rand2,random,elephant,0.113964,"500, 500, 23, 500, 500, 23, 500, 500, 500, 500"
2,rand3,random,cat,0.002257,"23, 500, 500, 23, 500, 500, 500, 500, 500, 500"
2,rand3,random,elephant,0.088755,"23, 500, 500, 23, 500, 500, 500, 500, 500, 500"
2,rand4,random,cat,0.000971,"500, 500, 23, 500, 500, 500, 500, 500, 500, 23"
2,rand4,random,elephant,0.154558,"500, 500, 23, 500, 500, 500, 500, 500, 500, 23"
2,rand5,random,cat,0.001704,"500, 23, 500, 23, 500, 500, 500, 500, 500, 500"
2,rand5,random,elephant,0.142943,"500, 23, 500, 23, 500, 500, 500, 500, 500, 500"
2,rand6,random,cat,0.001551,"23, 500, 500, 500, 23, 500, 500, 500, 500, 500"
2,rand6,random,elephant,0.113964,"23, 500, 500, 500, 23, 500, 500, 500, 500, 500"
2,rand7,random,cat,0.001002,"500, 500, 500, 23, 500, 500, 500, 500, 500, 23"
2,rand7,random,elephant,0.189368,"500, 500, 500, 23, 500, 500, 500, 500, 500, 23"
2,rand8,random,cat,0.001369,"500, 23, 500, 500, 500, 500, 500, 23, 500, 500"
2,rand8,random,elephant,0.108745,"500, 23, 500, 500, 500, 500, 500, 23, 500, 500"
2,rand9,random,cat,0.001412,"500, 500, 500, 500, 500, 23, 500, 23, 500, 500"
2,rand9,random,elephant,0.112197,"500, 500, 500, 500, 500, 23, 500, 23, 500, 500"
2,rand10,random,cat,0.000488,"500, 500, 23, 500, 23, 500, 500, 500, 500, 500"
2,rand10,random,elephant,0.103765,"500, 500, 23, 500, 23, 500, 500, 500, 500, 500"
2,rand11,random,cat,0.002187,"500, 500, 500, 500, 500, 23, 500, 500, 500, 23"
2,rand11,random,elephant,0.146332,"500, 500, 500, 500, 500, 23, 500, 500, 500, 23"
2,rand12,random,cat,0.001871,"500, 500, 500, 500, 23, 500, 500, 23, 500, 500"
2,rand12,random,elephant,0.097478,"500, 500, 500, 500, 23, 500, 500, 23, 500, 500"
2,rand13,random,cat,0.002120,"500, 500, 500, 500, 23, 500, 500, 500, 23, 500"
2,rand13,random,elephant,0.121314,"500, 500, 500, 500, 23, 500, 500, 500, 23, 500"
2,rand14,random,cat,0.001551,"500, 23, 500, 500, 500, 500, 500, 500, 500, 23"
2,rand14,random,elephant,0.182114,"500, 23, 500, 500, 500, 500, 500, 500, 500, 23"
2,rand15,random,cat,0.001100,"500, 23, 500, 500, 500, 500, 500, 500, 23, 500"
2,rand15,random,elephant,0.164526,"500, 23, 500, 500, 500, 500, 500, 500, 23, 500"
2,rand16,random,cat,0.001871,"500, 500, 500, 500, 23, 500, 500, 500, 500, 23"
2,rand16,random,elephant,0.133237,"500, 500, 500, 500, 23, 500, 500, 500, 500, 23"
2,rand17,random,cat,0.001208,"500, 500, 23, 500, 500, 500, 23, 500, 500, 500"
2,rand17,random,elephant,0.125165,"500, 500, 23, 500, 500, 500, 23, 500, 500, 500"
2,rand18,random,cat,0.000405,"500, 500, 500, 23, 500, 23, 500, 500, 500, 500"
2,rand18,random,elephant,0.145194,"500, 500, 500, 23, 500, 23, 500, 500, 500, 500"
2,rand19,random,cat,0.000627,"500, 500, 500, 23, 500, 500, 500, 500, 23, 500"
2,rand19,random,elephant,0.160715,"500, 500, 500, 23, 500, 500, 500, 500, 23, 500"
2,rand20,random,cat,0.000627,"500, 500, 23, 23, 500, 500, 500, 500, 500, 500"
2,rand20,random,elephant,0.184981,"500, 500, 23, 23, 500, 500, 500, 500, 500, 500"
2,rand21,random,cat,0.001758,"500, 500, 500, 500, 23, 23, 500, 500, 500, 500"
2,rand21,random,elephant,0.201581,"500, 500, 500, 500, 23, 23, 500, 500, 500, 500"
2,rand22,random,cat,0.001930,"23, 500, 500, 500, 500, 500, 23, 500, 500, 500"
2,rand22,random,elephant,0.117581,"23, 500, 500, 500, 500, 500, 23, 500, 500, 500"
2,rand23,random,cat,0.002120,"23, 500, 23, 500, 500, 500, 500, 500, 500, 500"
2,rand23,random,elephant,0.095967,"23, 500, 23, 500, 500, 500, 500, 500, 500, 500"
2,rand24,random,cat,0.000884,"500, 23, 500, 500, 500, 500, 23, 500, 500, 500"
2,rand24,random,elephant,0.100573,"500, 23, 500, 500, 500, 500, 23, 500, 500, 500"
2,rand25,random,cat,0.000444,"500, 23, 23, 500, 500, 500, 500, 500, 500, 500"
2,rand25,random,elephant,0.125165,"500, 23, 23, 500, 500, 500, 500, 500, 500, 500"
2,rand26,random,cat,0.001208,"500, 500, 500, 500, 23, 500, 23, 500, 500, 500"
2,rand26,random,elephant,0.100573,"500, 500, 500, 500, 23, 500, 23, 500, 500, 500"
2,rand27,random,cat,0.001246,"500, 500, 500, 500, 500, 500, 23, 500, 23, 500"
2,rand27,random,elephant,0.136397,"500, 500, 500, 500, 500, 500, 23, 500, 23, 500"
2,rand28,random,cat,0.001286,"23, 500, 500, 500, 500, 500, 500, 500, 23, 500"
2,rand28,random,elephant,0.095967,"23, 500, 500, 500, 500, 500, 500, 500, 23, 500"
2,rand29,random,cat,0.001412,"500, 500, 500, 500, 500, 500, 23, 500, 500, 23"
2,rand29,random,elephant,0.129138,"500, 500, 500, 500, 500, 500, 23, 500, 500, 23"
3,front,front,cat,0.005946,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
3,front,front,elephant,0.209611,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
3,rand0,random,cat,0.003183,"23, 500, 500, 500, 500, 23, 23, 500, 500, 500"
3,rand0,random,elephant,0.121314,"23, 500, 500, 500, 500, 23, 23, 500, 500, 500"
3,rand1,random,cat,0.000571,"500, 500, 500, 23, 500, 23, 500, 23, 500, 500"
3,rand1,random,elephant,0.141830,"500, 500, 500, 23, 500, 23, 500, 23, 500, 500"
3,rand2,random,cat,0.001930,"500, 23, 500, 500, 23, 500, 500, 23, 500, 500"
3,rand2,random,elephant,0.110457,"500, 23, 500, 500, 23, 500, 500, 23, 500, 500"
3,rand3,random,cat,0.000627,"500, 23, 23, 500, 23, 500, 500, 500, 500, 500"
3,rand3,random,elephant,0.235672,"500, 23, 23, 500, 23, 500, 500, 500, 500, 500"
3,rand4,random,cat,0.000504,"500, 23, 23, 500, 500, 500, 500, 500, 23, 500"
3,rand4,random,elephant,0.219671,"500, 23, 23, 500, 500, 500, 500, 500, 23, 500"
3,rand5,random,cat,0.001327,"500, 500, 23, 500, 500, 500, 23, 23, 500, 500"
3,rand5,random,elephant,0.152162,"500, 500, 23, 500, 500, 500, 23, 23, 500, 500"
3,rand6,random,cat,0.001457,"500, 500, 23, 500, 500, 500, 23, 500, 500, 23"
3,rand6,random,elephant,0.150977,"500, 500, 23, 500, 500, 500, 23, 500, 500, 23"
3,rand7,random,cat,0.001286,"500, 500, 23, 500, 500, 23, 500, 500, 23, 500"
3,rand7,random,elephant,0.123224,"500, 500, 23, 500, 500, 23, 500, 500, 23, 500"
3,rand8,random,cat,0.001066,"500, 23, 500, 500, 500, 500, 500, 23, 500, 23"
3,rand8,random,elephant,0.131171,"500, 23, 500, 500, 500, 500, 500, 23, 500, 23"
3,rand9,random,cat,0.002557,"23, 500, 500, 23, 23, 500, 500, 500, 500, 500"
3,rand9,random,elephant,0.121314,"23, 500, 500, 23, 23, 500, 500, 500, 500, 500"
3,rand10,random,cat,0.001412,"23, 500, 500, 500, 500, 500, 500, 23, 500, 23"
3,rand10,random,elephant,0.105399,"23, 500, 500, 500, 500, 500, 500, 23, 500, 23"
3,rand11,random,cat,0.000756,"500, 23, 500, 23, 23, 500, 500, 500, 500, 500"
3,rand11,random,elephant,0.165816,"500, 23, 500, 23, 23, 500, 500, 500, 500, 500"
3,rand12,random,cat,0.000971,"500, 500, 23, 500, 23, 500, 500, 500, 23, 500"
3,rand12,random,elephant,0.133237,"500, 500, 23, 500, 23, 500, 500, 500, 23, 500"
3,rand13,random,cat,0.001246,"500, 23, 500, 500, 500, 500, 23, 23, 500, 500"
3,rand13,random,elephant,0.195379,"500, 23, 500, 500, 500, 500, 23, 23, 500, 500"
3,rand14,random,cat,0.000805,"500, 500, 500, 23, 500, 500, 23, 23, 500, 500"
3,rand14,random,elephant,0.125165,"500, 500, 500, 23, 500, 500, 23, 23, 500, 500"
3,rand15,random,cat,0.003839,"23, 23, 500, 500, 23, 500, 500, 500, 500, 500"
3,rand15,random,elephant,0.198456,"23, 23, 500, 500, 23, 500, 500, 500, 500, 500"
3,rand16,random,cat,0.002402,"23, 500, 500, 500, 23, 500, 500, 500, 23, 500"
3,rand16,random,elephant,0.102156,"23, 500, 500, 500, 23, 500, 500, 500, 23, 500"
3,rand17,random,cat,0.002257,"500, 500, 500, 500, 23, 500, 23, 500, 23, 500"
3,rand17,random,elephant,0.129138,"500, 500, 500, 500, 23, 500, 23, 500, 23, 500"
3,rand18,random,cat,0.000667,"500, 500, 500, 23, 23, 23, 500, 500, 500, 500"
