cond,animal,p_base,p_sub,delta_lp,seq
Q1_freq_m00,cat,0.011462,0.005586,-0.7188,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,elephant,0.011462,0.152162,2.5859,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,owl,0.001871,0.000912,-0.7188,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,panda,0.262912,0.005946,-3.7891,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,dolphin,0.337585,0.022093,-2.7266,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,koala,0.006527,0.038695,1.7798,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,penguin,0.001984,0.020390,2.3300,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m00,giraffe,0.074721,0.105340,0.3434,"500, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,cat,0.011462,0.002187,-1.6562,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,elephant,0.011462,0.129138,2.4219,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,owl,0.001871,0.000710,-0.9688,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,panda,0.262912,0.005586,-3.8516,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,dolphin,0.337585,0.028815,-2.4609,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,koala,0.006527,0.017175,0.9675,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,penguin,0.001984,0.013093,1.8871,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m01,giraffe,0.074721,0.113929,0.4218,"23, 500, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,cat,0.011462,0.007635,-0.4062,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,elephant,0.011462,0.145194,2.5391,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,owl,0.001871,0.001930,0.0312,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,panda,0.262912,0.005946,-3.7891,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,dolphin,0.337585,0.050571,-1.8984,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,koala,0.006527,0.036932,1.7332,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,penguin,0.001984,0.026646,2.5976,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m02,giraffe,0.074721,0.186382,0.9140,"23, 23, 500, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,cat,0.011462,0.005946,-0.6562,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,elephant,0.011462,0.209611,2.9062,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,owl,0.001871,0.002639,0.3438,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,panda,0.262912,0.005248,-3.9141,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,dolphin,0.337585,0.038774,-2.1641,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,koala,0.006527,0.034157,1.6550,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,penguin,0.001984,0.029786,2.7090,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m03,giraffe,0.074721,0.209555,1.0312,"23, 23, 23, 500, 500, 500, 500, 500, 500, 500"
Q1_freq_m05,cat,0.011462,0.020116,0.5625,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,elephant,0.011462,0.228422,2.9922,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,owl,0.001871,0.004216,0.8125,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,panda,0.262912,0.005086,-3.9453,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,dolphin,0.337585,0.074739,-1.5078,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,koala,0.006527,0.048169,1.9988,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,penguin,0.001984,0.050732,3.2415,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m05,giraffe,0.074721,0.138503,0.6171,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
Q1_freq_m07,cat,0.011462,0.041275,1.2812,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,elephant,0.011462,0.175137,2.7266,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,owl,0.001871,0.008128,1.4688,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,panda,0.262912,0.002329,-4.7266,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,dolphin,0.337585,0.072440,-1.5391,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,koala,0.006527,0.036342,1.7171,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
Q1_freq_m07,penguin,0.001984,0.043014,3.0765,"23, 23, 23, 23, 23, 23, 23, 500, 500, 500"
