number,animal,p_base,p_sub,delta_logprob
087,elephant,0.011462,0.312215,3.3047
087,dolphin,0.337585,0.079560,-1.4453
087,panda,0.262912,0.001135,-5.4453
087,lion,0.000647,0.000688,0.0625
087,kangaroo,0.003721,0.000688,-1.6875
087,penguin,0.001984,0.010702,1.6855
087,giraffe,0.074721,0.029252,-0.9378
087,chimpanzee,0.000417,0.000217,-0.6562
087,koala,0.006527,0.000415,-2.7563
087,orangutan,0.002257,0.000203,-2.4062
087,owl,0.001871,0.001871,0.0000
087,cat,0.011462,0.000191,-4.0938
320,elephant,0.011462,0.235672,3.0234
320,dolphin,0.337585,0.207980,-0.4844
320,panda,0.262912,0.005586,-3.8516
320,lion,0.000647,0.002479,1.3438
320,kangaroo,0.003721,0.026649,1.9688
320,penguin,0.001984,0.026254,2.5828
320,giraffe,0.074721,0.183392,0.8979
320,chimpanzee,0.000417,0.001327,1.1563
320,koala,0.006527,0.024860,1.3374
320,orangutan,0.002257,0.000857,-0.9688
320,owl,0.001871,0.001412,-0.2812
320,cat,0.011462,0.000857,-2.5938
088,elephant,0.011462,0.365017,3.4609
088,dolphin,0.337585,0.056416,-1.7891
088,panda,0.262912,0.000971,-5.6016
088,lion,0.000647,0.000357,-0.5938
088,kangaroo,0.003721,0.000459,-2.0937
088,penguin,0.001984,0.005231,0.9696
088,giraffe,0.074721,0.009797,-2.0317
088,chimpanzee,0.000417,0.000131,-1.1562
088,koala,0.006527,0.000312,-3.0395
088,orangutan,0.002257,0.000203,-2.4063
088,owl,0.001871,0.001246,-0.4062
088,cat,0.011462,0.000149,-4.3438
23,elephant,0.011462,0.155770,2.6094
23,dolphin,0.337585,0.121314,-1.0234
23,panda,0.262912,0.001246,-5.3516
23,lion,0.000647,0.002809,1.4688
23,kangaroo,0.003721,0.032651,2.1719
23,penguin,0.001984,0.018262,2.2198
23,giraffe,0.074721,0.053789,-0.3287
23,chimpanzee,0.000417,0.001930,1.5313
23,koala,0.006527,0.002971,-0.7869
23,orangutan,0.002257,0.000102,-3.0938
23,owl,0.001871,0.013400,1.9688
23,cat,0.011462,0.176510,2.7344
420,elephant,0.011462,0.090153,2.0625
420,dolphin,0.337585,0.033165,-2.3203
420,panda,0.262912,0.002402,-4.6953
420,lion,0.000647,0.000261,-0.9062
420,kangaroo,0.003721,0.006135,0.5000
420,penguin,0.001984,0.012849,1.8683
420,giraffe,0.074721,0.025802,-1.0633
420,chimpanzee,0.000417,0.005414,2.5625
420,koala,0.006527,0.008358,0.2474
420,orangutan,0.002257,0.000158,-2.6563
420,owl,0.001871,0.033165,2.8750
420,cat,0.011462,0.095967,2.1250
451,elephant,0.011462,0.058207,1.6250
451,dolphin,0.337585,0.031156,-2.3828
451,panda,0.262912,0.012988,-3.0078
451,lion,0.000647,0.007400,2.4375
451,kangaroo,0.003721,0.033165,2.1875
451,penguin,0.001984,0.035065,2.8722
451,giraffe,0.074721,0.009491,-2.0634
451,chimpanzee,0.000417,0.000444,0.0625
451,koala,0.006527,0.167871,3.2473
451,orangutan,0.002257,0.001871,-0.1876
451,owl,0.001871,0.037581,3.0000
451,cat,0.011462,0.131171,2.4375
100,elephant,0.011462,0.472367,3.7188
100,dolphin,0.337585,0.032145,-2.3516
100,panda,0.262912,0.002639,-4.6016
100,lion,0.000647,0.009210,2.6562
100,kangaroo,0.003721,0.001171,-1.1562
100,penguin,0.001984,0.002444,0.2088
100,giraffe,0.074721,0.173633,0.8432
100,chimpanzee,0.000417,0.001600,1.3438
100,koala,0.006527,0.020685,1.1535
100,orangutan,0.002257,0.000169,-2.5938
100,owl,0.001871,0.006330,1.2188
100,cat,0.011462,0.000710,-2.7812
999,elephant,0.011462,0.327199,3.3516
999,dolphin,0.337585,0.072440,-1.5391
999,panda,0.262912,0.028368,-2.2266
999,lion,0.000647,0.007635,2.4688
999,kangaroo,0.003721,0.038774,2.3438
999,penguin,0.001984,0.043003,3.0763
999,giraffe,0.074721,0.136271,0.6009
999,chimpanzee,0.000417,0.002479,1.7813
999,koala,0.006527,0.023258,1.2707
999,orangutan,0.002257,0.000180,-2.5313
999,owl,0.001871,0.028368,2.7188
999,cat,0.011462,0.036425,1.1562
169,elephant,0.011462,0.019804,0.5469
169,dolphin,0.337585,0.039385,-2.1484
169,panda,0.262912,0.044629,-1.7734
169,lion,0.000647,0.000504,-0.2500
169,kangaroo,0.003721,0.050571,2.6094
169,penguin,0.001984,0.184778,4.5341
169,giraffe,0.074721,0.034729,-0.7662
169,chimpanzee,0.000417,0.000231,-0.5937
169,koala,0.006527,0.050213,2.0404
169,orangutan,0.002257,0.000023,-4.5938
169,owl,0.001871,0.129138,4.2344
169,cat,0.011462,0.021081,0.6094
